UMAP1,UMAP2
3.8533885,3.775268
-2.0433903,6.4673276
4.1361384,4.365015
3.7697375,3.6426363
4.1126227,4.0856204
4.045322,3.8858452
4.1901255,3.8627558
4.1908383,3.9118147
3.930404,3.7127986
3.5310147,2.6886406
4.205904,3.4681242
4.2204657,3.266539
4.0890446,4.1440377
4.153922,3.9429135
1.1156237,6.224254
-2.0741246,6.5044346
4.897927,4.467891
4.981969,4.0426693
5.07839,4.6084375
4.960271,4.3456526
5.0106072,4.202931
4.93236,4.2342014
4.967167,4.247538
4.9091725,4.426003
4.4351044,4.287026
1.2204653,6.2802653
4.164649,3.8696477
-2.1835654,6.4054275
3.9450343,3.67383
3.8783636,3.467227
4.2653036,3.8994505
3.950939,3.6097205
3.8974712,3.6870964
4.203517,3.7724018
1.200653,6.226764
3.1894598,4.6984067
3.051096,0.8028132
-1.482432,5.868716
0.7288536,4.4564795
3.2706673,4.768156
3.2412922,4.738603
3.3267102,4.4433475
2.344091,2.9356158
3.3372087,4.8439913
0.63897616,1.2624456
3.2835088,4.554311
3.1080701,4.648731
2.801761,3.718323
0.833143,5.727656
3.0881991,4.8125267
-0.4598371,2.1908925
-2.1097057,6.295237
3.3266265,4.7322617
3.8108377,4.6732073
4.123131,4.795448
4.022307,4.721471
4.638193,4.606388
3.664677,5.0974855
-0.8451198,5.709356
4.014254,4.690145
2.5970578,3.5379188
3.104586,3.268066
-1.9311986,6.082142
3.0387673,3.301083
3.0185564,3.2577412
3.2801661,3.3325953
2.97857,3.6524327
1.7809362,5.223154
3.299824,4.461062
1.6912981,5.7740498
0.6846224,4.506987
2.9107537,1.5836347
1.3861742,5.913535
2.9302561,3.902896
3.1437204,3.703092
2.7915916,4.926054
2.8921611,4.7832565
3.7664554,4.6183376
3.82963,4.5864425
4.4363465,4.4196815
3.874939,3.8675714
3.8023071,4.561019
0.7746708,5.016977
3.055642,5.157219
2.6261985,4.8961244
1.7270911,5.226833
-0.77910554,5.770754
3.300622,4.353943
2.761596,4.5659933
0.106525026,2.8614366
1.5548974,5.828625
0.9964098,5.030604
1.2463497,4.141355
-1.6882986,5.6968846
-1.0586287,5.1700635
-0.8230107,5.1857696
2.51932,1.9306524
1.3171669,2.994051
-0.5013634,5.5333652
-0.09588447,5.1579347
0.6334491,4.7277575
0.6124908,4.7695646
8.23302,5.873267
8.514308,5.972879
8.538424,5.9929028
8.567289,6.0318613
8.53798,5.99432
8.515647,5.996152
8.505994,5.9708285
8.537733,5.96685
8.544899,5.9780335
8.4852915,5.979055
8.539567,6.0481243
8.51458,5.9690647
8.553979,6.0127697
8.549106,6.004081
8.4878845,5.947713
8.527676,5.9838395
8.543661,5.9912686
8.522475,5.9856234
8.565556,6.0358458
8.50096,5.97948
0.35083047,1.6364598
-0.6024085,0.7861435
1.2522765,2.006226
1.9892043,2.9201
-0.9183296,5.250868
-0.35666704,0.8087403
-0.26952145,1.2563165
-0.24169299,4.144475
3.5209053,4.1443353
3.4511037,4.1150136
2.985021,3.565362
3.301746,4.0837264
-0.8978375,4.012249
3.5230787,3.38287
-0.7469658,5.455036
3.2918339,4.113374
-1.3204912,6.023313
2.9243584,3.0441802
1.9382156,1.5689633
-0.3598298,3.989724
0.6485255,4.0661902
-2.2990916,5.9877343
-0.9038751,2.9756925
3.380046,4.79404
-1.121987,6.2005267
3.4817374,4.2338223
3.1586204,4.996823
-1.7800262,6.470582
3.4395819,4.711801
0.9901644,1.1896347
0.8364142,6.1883965
0.70772064,4.911554
-2.1736622,6.0985203
3.5297906,2.6444538
3.6016786,2.9406629
1.6813715,2.635846
2.3751383,3.683607
2.7317638,1.388738
3.2289672,2.448097
-0.83363473,3.8862429
-0.19241418,2.0560248
2.9466124,2.8462312
-0.66133076,4.4734306
3.6214976,3.2497773
3.8559887,2.5660388
-0.47612482,3.90649
3.3247786,2.6541624
-2.0491667,6.631184
4.8642545,4.195358
3.8116112,2.7015839
-0.2703342,4.8913455
3.7849395,2.8933136
4.8615694,4.764258
-1.031398,3.8778524
3.1154473,1.0651357
4.8683486,4.773801
4.9802103,4.6827145
4.101344,3.2408469
3.049898,0.9163535
3.8616376,4.694577
3.2694,2.8742526
4.033707,2.858231
4.0210238,2.7316422
3.9803991,2.7044363
3.6862264,2.6018481
4.052347,2.7506096
